time,temperature,humidity
1502415816000,30.5,68.6
1502416416000,30.3,69.0
1502417016000,30.2,69.4
1502417616000,30.0,69.9
1502418216000,29.9,69.9
1502418816000,29.8,70.3
1502419416000,29.8,70.8
1502420016000,29.7,70.8
1502420616000,29.7,70.8
1502421216000,29.7,70.8
1502421816000,29.7,70.8
1502422416000,29.7,70.8
1502423016000,29.8,70.8
1502423616000,29.7,70.8
1502424216000,29.7,71.2
1502424816000,29.6,71.2
1502425416000,29.5,71.2
1502426016000,29.5,71.2
1502426616000,29.5,71.6
1502427216000,29.4,71.6
1502427816000,29.4,72.1
1502428416000,29.4,72.1
1502429016000,29.4,72.1
1502429616000,29.4,72.1
1502430216000,29.4,72.1
1502430816000,29.4,72.1
1502431416000,29.5,72.1
1502432016000,29.5,72.1
1502432616000,29.5,72.1
1502433216000,29.5,72.1
1502433816000,29.5,72.1
1502434416000,29.4,72.1
1502435016000,29.4,72.5
1502435616000,29.3,72.5
1502436216000,29.3,72.5
1502436816000,29.3,72.5
1502437416000,29.3,72.5
1502438016000,29.2,73.0
1502438616000,29.2,72.9
1502439216000,29.1,72.9
1502439816000,29.1,72.9
1502440416000,29.0,72.9
1502441016000,28.8,73.3
1502441616000,28.5,73.7
1502442216000,28.3,74.2
1502442816000,28.1,75.0
1502443416000,27.9,75.4
1502444016000,27.7,75.8
1502444616000,27.6,76.2
1502445216000,27.5,76.7
1502445816000,27.2,77.1
1502446416000,26.1,78.2
1502447016000,25.2,80.1
1502447616000,24.7,82.1
1502448216000,24.6,82.9
1502448816000,24.4,83.7
1502449416000,24.4,84.1
1502450016000,24.4,84.1
1502450616000,24.5,84.1
1502451216000,24.7,84.2
1502451816000,24.8,83.8
1502452416000,25.0,83.4
1502453016000,25.4,83.1
1502453616000,25.5,82.7
1502454216000,25.6,81.9
1502454816000,25.7,81.9
1502455416000,25.8,81.5
1502456016000,25.9,81.1
1502456616000,26.1,81.1
1502457216000,26.2,80.7
1502457816000,26.5,79.9
1502458416000,26.8,79.6
1502459016000,27.2,78.8
1502459616000,27.7,77.1
1502460216000,28.3,75.9
1502460816000,28.7,74.7
1502461416000,29.2,73.8
1502462016000,29.5,72.5
1502462616000,29.5,72.1
1502463216000,30.0,71.2
1502463816000,30.5,70.4
1502464416000,30.8,69.5
1502465016000,30.8,68.6
1502465616000,30.6,69.0
1502466216000,30.9,68.6
1502466816000,31.6,67.3
1502467416000,32.1,66.4
1502468016000,32.7,65.0
1502468616000,33.2,63.7
1502469216000,33.7,62.8
1502469816000,34.2,61.3
1502470416000,34.5,60.9
1502471016000,34.6,59.9
1502471616000,34.8,59.4
1502472216000,34.9,58.9
1502472816000,35.1,59.0
1502473416000,35.0,58.4
1502474016000,35.0,58.4
1502474616000,35.0,58.4
1502475216000,34.9,58.4
1502475816000,34.9,58.4
1502476416000,34.8,58.4
1502477016000,34.6,58.9
1502477616000,34.5,58.9
1502478216000,34.0,59.8
1502478816000,33.4,60.8
1502479416000,32.8,61.7
1502480016000,32.1,63.0
1502480616000,31.6,64.4
1502481216000,31.2,65.3
